Comment,Description,Designator,Footprint,Mounted,Quantity,Value

"100n","Capacitor","C1","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C2","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C3","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C4","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C5","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C6","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C7","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C8","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C9","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C10","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C11","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C12","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C13","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C14","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C15","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C16","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C17","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C18","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C19","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C20","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C21","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C22","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C23","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C24","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C25","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C26","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C27","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C28","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C29","CAPC1608X87N","No","1","1u X5R"
"100n","Capacitor","C30","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C31","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C32","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C33","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C34","CAPC1608X87N","No","1","100n"
"1u X5R","Capacitor","C35","CAPC1608X87N","No","1","1u X5R"
"100n","Capacitor","C36","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C37","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C38","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C40","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C41","CAPC1608X87N","No","1","100n"
"1u X5R","Capacitor","C42","CAPC1608X87N","Yes","1","1u X5R"
"1u X5R","Capacitor","C43","CAPC1608X87N","Yes","1","1u X5R"
